"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3DD.0078D46349","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:32:30 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4634A","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:18:48 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4634A","Recovery","CRESIS - Crescent Island, Columbia River","8/20/2024","","","CRESIS","8/20/2024 11:00:00 AM","NA","0","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634B","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:32:53 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4634B","Observation","GRS - Lower Granite Dam Spillway","4/21/2024","","","GRS","4/21/2024 4:25:29 PM","02","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634B","Observation","GRS - Lower Granite Dam Spillway","4/21/2024","","","GRS","4/21/2024 4:25:30 PM","02","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634B","Observation","GRS - Lower Granite Dam Spillway","4/21/2024","","","GRS","4/21/2024 4:25:30 PM","09","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634C","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:18:28 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4634D","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:19:06 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4634D","Observation","TWX - Estuary Towed Array (Exp.)","5/2/2024","","","TWX","5/2/2024 8:21:46 PM","C4","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634D","Observation","TWX - Estuary Towed Array (Exp.)","5/2/2024","","","TWX","5/2/2024 8:21:48 PM","C1","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634D","Observation","TWX - Estuary Towed Array (Exp.)","5/2/2024","","","TWX","5/2/2024 8:21:48 PM","C2","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4634E","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:33:35 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4634F","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:31:42 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46350","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:33:23 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46351","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:21:33 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46351","Observation","BCC - BON PH2 Corner Collector","5/3/2024","","","BCC","5/3/2024 5:36:44 AM","01","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46352","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:34:10 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46352","Observation","GRS - Lower Granite Dam Spillway","4/16/2024","","","GRS","4/16/2024 1:32:19 PM","04","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46352","Observation","MCJ - McNary Dam Juvenile","4/25/2024","","","MCJ","4/25/2024 2:05:21 PM","01","170","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46352","Observation","MCJ - McNary Dam Juvenile","4/25/2024","","","MCJ","4/25/2024 2:05:25 PM","02","170","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46352","Observation","MCJ - McNary Dam Juvenile","4/25/2024","","","MCJ","4/25/2024 2:05:27 PM","03","170","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46352","Observation","MCJ - McNary Dam Juvenile","4/25/2024","","","MCJ","4/25/2024 2:05:31 PM","04","170","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46353","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:19:27 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
